nom;prenom;identifiant_lc;domaine
Mugnier;Arthur (abbé);BX4705.M77 A34 1985;litterature
Murger;Henry;PQ2367.M94;litterature
Musset, de;Alfred;[PQ2369-2373];litterature
Nerval, de;Gérard;PQ2260.G36;litterature
Noailles, de;Anna;PQ2627.O17;litterature
Normandy;Georges;PQ2235.D93 Z7 1907;litterature
Nouveau;Germain;PQ2376.N88;litterature
Ouida;;PR4527;litterature
Pancrazi;Pietro;Z8656.84;litterature
Pater;Walter;PR5130-5138;litterature
Paulhan;Jean;Z8665.66;litterature
Pawlowski, de;Gaston;D523 .P38;litterature
Péguy;Charles Pierre;PQ2631.E25;litterature
Péladan;Joséphin;PQ2380.P5;litterature
Philippe;Charles-Louis;PQ2631.H5;litterature
Picard;Edmond;KJK1630 .P534 1893;litterature
Poe;Edgar Allan;PS2600-2648;litterature
Pougy, de;Liane;PQ2613.H47;litterature
Pozzi;Catherine;PQ2631.O977;litterature
Prarond;Ernest;PQ1678 .P7 1969;litterature
Pravieux;Jules;PQ2631.R27 L4 1921;litterature
Proust;Marcel;PQ2631.R64;litterature
Prudhomme;Sully;PQ2448.A1;litterature
Quinet;Edgar;PQ2384.Q6;litterature
Quint;Léon-Pierre;PQ2631. R63 Z8 1946;litterature
Rachilde;;PQ2643.A323;litterature
Racot;Adolphe;PQ146 .P67 2007;litterature
Raynaud;Ernest;PQ438 .R3;litterature
Rebell;Hugues;PQ2386.R15;litterature
Reclus;Jacques Elisée;GB53 .R477;litterature
Régnier, de;Henri François Joseph;PQ2635.E34;litterature
Régnier, de;Marie;PQ2635.E35 J3 1927;litterature
Renan;Ernest;[PQ2386.R37-.R39];litterature
Renard;Pierre;PQ2635.E48;litterature
Retté;Adolphe;BV4935.R4 A3 1909;litterature
Reybaud;Louis;PQ2386.R9;litterature
Ricard, de;Louis-Xavier;PQ2387.R32;litterature
Rilke;Rainer Maria;PT2635.I65;litterature
Rimbaud;Arthur;PQ2387.R5;litterature
Riotor;Léon;PQ2635.I7 F3;litterature
Rivière;Jacques;PQ2635.I87;litterature
Rochel;Clément;PQ6328 .A1 1903;litterature
Rodenbach;Georges;PQ2388.R413;litterature
Rodenbarches;Georges;PQ2388.R413;litterature
Rolland;Romain;PQ2635.O5;litterature
Rollinat;Maurice;PQ2388.R428;litterature
Rostand;Edmond;[PQ2635.O58-.O81];litterature
Rothenstein;William;ND497.R85 A27;litterature
